,A,B,C,D
0,0.11402259456030334,-0.011882247779441246,-0.4193531047647327,0.12590484233974458
1,0.30336063125695656,0.04357298121594577,-1.3771072896409662,1.2597876500410108
2,1.2407148153544856,-0.25371617953611764,1.104079911359968,1.4944309948906032
3,0.5101415518387202,-0.25604798596233497,0.5668686536674241,1.7661895378010553
4,1.7300980331084683,-0.01456663530485347,1.2146495914830104,1.7446646684133218
5,7.616381578868443,0.6732224935202538,2.029761394087945,6.943159085348189
6,-0.5652607302325596,1.8208165756742012,1.022863389223894,-1.3860773059067608
7,-1.2148764548486204,-0.2987835971365459,-2.6974435940707595,0.0839071422879255
8,0.7100107197605986,1.5773338272467958,-0.6405477624854686,-0.8673231074861972
9,2.0602145734406117,0.931840372547403,1.0471109039754614,2.1283742008932087
10,-2.608095624425625,1.6648017101599877,-1.9197991377653383,-4.272897334585613
11,0.7690127828753814,-0.41233002895679527,1.6540072006069606,1.1813428118321767
12,0.28973672196713035,0.18294518675749388,-0.45568140523197903,0.10679153520963647
13,0.6726732496043164,-0.00974904992315967,-0.4185438185609,0.682422299527476
14,1.1336262805916164,0.5637649813375932,0.01857028764922914,2.569861299254023
15,-0.3870813437039088,-0.1566827506677413,-1.3778861476053939,0.7696014069638325
16,0.8221394469879726,-0.4185501474803931,-0.864694622741476,1.2406895944683658
17,-0.13387914607455997,1.040901761647196,-0.8803348725884489,-0.17478090772175603
18,1.1402474998285033,0.24196696271388862,0.49807717631689247,1.8982805371146148
19,-5.10921082862859,0.605529296828427,-1.3117429918115617,-3.7147401254570167
20,0.43180376422100974,-0.13391152548392515,-0.18877997083150522,1.565715289704935
21,0.5005685936466587,-0.2917224070283895,0.024691263714231554,2.792291000675048
22,0.9229530887804502,0.6333431011291141,-0.06632778177689674,0.28960998765133616
23,1.2727972625741142,-0.37446095093591425,0.825640168675306,2.647258213510028
24,-2.5192523451032214,-0.3103253834287089,-1.7690715300039752,-0.20892696167451247
25,1.9667352465283723,-0.6594947554279424,-0.2697258665735384,2.6262300019563147
26,1.70001763845304,-0.1960504117905877,0.8611299086145103,2.8960680502436276
27,1.7543282029605447,0.12101277897245444,1.7225121767713154,1.6333154239880903
28,1.7992731135420814,-0.00749859536127484,1.088031228398723,1.8067717089033564
29,2.8086479864332796,-0.3943077481893592,1.1068558711483532,5.2029557346226385
30,1.7340477321825554,0.22855454119194207,0.6453401281127381,2.505493190990613
31,1.1567239724361789,-0.4069655436781674,-1.7160249198863877,1.5636895161143463
32,0.19709484897256924,0.10030766141448244,-0.13421333899474797,0.0967871875580868
33,0.19747862010707617,-0.1359703709321839,-0.9983209520177938,0.33344899103926007
34,2.220909467325084,-0.06825107477744174,-0.18680030306785578,2.289160542102526
35,-1.894869026206218,-0.13755531755463346,-0.8178609353992506,-1.7573137086515844
36,-1.0366993057178453,-0.3825653247090697,-0.34724744356027126,-0.6541339810087756
37,-0.7629045614171415,-0.14733617213912675,-0.028878968216870898,0.3844316107219853
38,1.5350141728845235,0.3255192877633136,0.5563023683274131,2.20949488512121
39,1.5969161637595362,1.2388686716651716,0.20563670783383328,0.3580474920943646
40,3.2572053358085373,-0.4703099575939036,2.122986199556443,3.727515293402441
41,0.7582028925078947,-0.5880268155018205,0.6082349928749258,3.3462297080097154
42,2.495712426335178,-0.5762672335958718,1.5167187679977638,3.07197965993105
43,3.5159829402383975,0.15694863075786236,2.474827251460418,3.3590343094805353
44,5.683485111875021,1.0951484332742658,0.43238266748062215,5.588336678600756
45,1.555047363340972,0.17937889866233964,0.7583912602660069,1.3756684646786324
46,1.3106701968826635,-0.5212500470220743,0.49217975617853127,1.831920243904738
47,2.332548494855623,-0.20188336948187435,0.8576588750865121,2.5344318643374977
48,0.31590118565898795,-0.24851080361942002,0.9012488330574759,1.5644119892784079
49,0.806965988352303,0.0557826088854817,-2.068623982496127,1.7511833794668212
